hospital_name,hospital_type,address,insurers,rating,specialties,tier,segment
CHC Chenani,Government,"cHC Chenani, NEAR POLICE STATION CHENANI, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Ghagwal,Government,"NEAR SDM OFFICE GHAGWAL, national highway ghagwal, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
DH Poonch,Government,"opposite CMO Office, Near Radio Station, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
Govt. District Hospital Kulgam,Government,"Kulgam Main Town Near Fruit Mandi, Jammu and Kashmir",PMJAY,0.0,Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Government
CHC MAHORE,Government,"MAHORE, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Seer,Government,"Seer Hamdan Anantnag, kp road, Seer hamdan, anantnag, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 1,Government
DH Pora,Government,"Damhal Hanji Pora, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
E H Qazigund,Government,"QAZIGUND, Jammu and Kashmir",PMJAY,0.0,Orthopedics; General Surgery,City 1,Government
CHC YARIPORA,Government,"Yaripora, YARIPORA, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
CHC Marh,Government,"March Jammu Near Bus Stand, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Dooru,Government,"Doru Shahabad, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Kokernag,Government,"Kokernag, Near Police Station, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Tral,Government,"Trali-Bala, Near BDO Office, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Pampore,Government,"Near Police Station, Kadlabal Pampore, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
Batote,Government,"Community Health Centre Batote, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Urology,City 1,Government
